Date,GLD,HYG,SPY,TLT,VB,VNQ
2012-11-15,166.08999633789062,46.82546615600586,108.51213073730467,91.32769012451172,61.64717483520508,37.59989547729492
2012-11-16,165.8800048828125,46.95974349975586,109.04790496826172,91.2482681274414,62.23833847045898,37.83012771606445
2012-11-19,167.8699951171875,47.55364227294922,111.25491333007812,90.7355728149414,63.4699821472168,38.296630859375
2012-11-20,167.38999938964844,47.55880355834961,111.3028793334961,89.82579040527344,63.62598037719727,38.58138656616211
2012-11-21,167.55999755859375,47.54331207275391,111.51079559326172,89.77522277832031,63.93798828125,38.514747619628906
2012-11-23,169.61000061035156,47.70340347290039,113.03012084960938,89.68861389160156,64.64412689208984,38.79950714111328
2012-11-26,169.42999267578125,47.71376800537109,112.7902374267578,90.11463928222656,64.7426528930664,38.87826919555664
2012-11-27,168.7100067138672,47.76021957397461,112.21452331542967,90.46844482421876,64.60306549072266,38.66015625
2012-11-28,166.5500030517578,47.77055740356445,113.1181411743164,90.33844757080078,65.07928466796875,38.61169052124024
2012-11-29,167.17999267578125,47.98227691650391,113.64591217041016,90.3529281616211,65.6786880493164,38.82374954223633
2012-11-30,166.0500030517578,48.05460739135742,113.66986846923828,90.10739135742188,65.67045593261719,38.90250778198242
2012-12-03,166.1300048828125,48.29806518554688,113.11009979248048,90.19059753417967,65.51444244384766,39.06003189086914
2012-12-04,164.4199981689453,48.29806518554688,112.95018005371094,90.7114715576172,65.60479736328125,39.1206169128418
2012-12-05,164.1199951171875,48.375953674316406,113.15006256103516,90.66809844970705,65.53087615966797,38.99943923950195
2012-12-06,164.5,48.46417617797852,113.53389739990234,90.86345672607422,65.66226196289062,39.36296463012695
2012-12-07,165.16000366210938,48.39152908325195,113.8777313232422,90.02416229248047,65.76080322265625,39.50837707519531
2012-12-10,165.8000030517578,48.43306350708008,113.92572021484376,90.42208862304688,66.08104705810547,39.49018859863281
2012-12-11,165.64999389648438,48.47977828979492,114.701416015625,89.7347640991211,66.59005737304688,39.58712005615234
2012-12-12,165.77000427246094,48.62514114379883,114.75735473632812,88.69293212890625,66.36017608642578,39.478065490722656
2012-12-13,164.3699951171875,48.45379257202149,114.0536880493164,88.75808715820312,65.94964599609375,39.17514801025391
2012-12-14,164.1300048828125,48.41748428344727,113.62989044189452,89.42369842529297,65.85933685302734,39.16908264160156
2012-12-17,164.44000244140625,48.60437774658203,114.96531677246094,88.08524322509766,66.65579223632812,39.37507247924805
2012-12-18,162.0800018310547,48.63035202026367,116.2447280883789,87.1881332397461,67.56719207763672,39.781009674072266
2012-12-19,161.69000244140625,48.57843399047852,115.38108825683594,87.47750091552734,67.61642456054688,39.726470947265625
2012-12-20,159.72999572753906,48.749732971191406,116.04478454589844,87.491943359375,67.99413299560547,40.24752807617188
2012-12-21,160.3300018310547,48.60959243774414,114.9914093017578,88.44693756103516,67.61642456054688,40.18087387084961
2012-12-24,160.6199951171875,48.43306350708008,114.63710021972656,88.28781127929688,67.32794952392578,40.23422622680664
2012-12-26,160.77999877929688,48.55050277709961,114.15387725830078,88.60540008544922,66.8931655883789,40.04412078857422
2012-12-27,161.16000366210938,48.64969253540039,114.00090789794922,88.90274047851562,66.81790161132812,40.1912956237793
2012-12-28,160.5399932861328,48.519161224365234,112.76876831054688,89.41024017333984,66.34129333496094,39.9276123046875
2012-12-31,162.02000427246094,48.72796630859375,114.68540954589844,87.8658218383789,67.64570617675781,40.35073471069336
2013-01-02,163.1699981689453,49.18731689453125,117.6248016357422,86.69120788574219,69.5605239868164,40.85359573364258
2013-01-03,161.1999969482422,49.03597640991211,117.35907745361328,85.51659393310547,69.51873016357422,40.84746551513672
2013-01-04,160.44000244140625,49.06728744506836,117.87445831298828,85.85008239746094,70.0455093383789,41.037559509277344
2013-01-07,159.42999267578125,49.10906219482422,117.55236053466795,85.88629913330078,69.83645629882812,41.12954330444336
2013-01-08,160.55999755859375,49.07247924804688,117.21417236328124,86.45187377929688,69.70267486572266,41.04981994628906
2013-01-09,160.49000549316406,49.16645050048828,117.51211547851562,86.3721694946289,70.00370025634766,41.16633987426758
2013-01-10,161.97999572753906,49.24998092651367,118.44625854492188,86.13285064697266,70.10401153564453,41.20926284790039
2013-01-11,161.05999755859375,49.33867645263672,118.43821716308594,86.90145874023438,70.0455093383789,41.18474578857422
2013-01-14,161.5399932861328,49.27087020874024,118.35765075683594,86.66221618652344,70.1374740600586,41.3012580871582
2013-01-15,162.55999755859375,49.28129959106445,118.43821716308594,87.0609359741211,70.4886474609375,41.49748229980469
2013-01-16,162.64999389648438,49.19780349731445,118.42210388183594,87.24226379394531,70.33818054199219,41.448429107666016
2013-01-17,163.35000610351562,49.3752555847168,119.18716430664062,86.3721694946289,70.97366333007812,41.57721710205078
2013-01-18,163.08999633789062,49.44311141967773,119.452880859375,87.03921508789062,71.16596221923828,41.75505065917969
2013-01-22,163.6699981689453,49.47444152832031,120.09717559814452,87.20596313476562,71.676025390625,41.969688415527344
2013-01-23,163.2100067138672,49.41703796386719,120.2904281616211,87.0754623413086,71.50879669189453,41.9574089050293
2013-01-24,161.4199981689453,49.52666091918945,120.32261657714844,86.7708969116211,71.71783447265625,42.04325485229492
2013-01-25,160.64999389648438,49.510963439941406,120.99911499023438,85.58181762695312,72.26134490966797,42.28241729736328
2013-01-28,160.2899932861328,49.48489761352539,120.85415649414062,85.27000427246094,72.28641510009766,42.392799377441406
2013-01-29,160.99000549316406,49.401363372802734,121.329345703125,84.79867553710938,72.24461364746094,42.51545715332031
2013-01-30,162.19000244140625,49.0464096069336,120.85415649414062,84.65367889404297,71.51716613769531,42.1107292175293
2013-01-31,161.1999969482422,48.8950309753418,120.55620574951172,85.06697845458984,71.943603515625,41.85930252075195
2013-02-01,161.4499969482422,49.05717849731445,121.79641723632812,83.96240997314453,72.57072448730469,42.104583740234375
2013-02-04,162.0,48.852535247802734,120.42737579345705,85.03794860839844,71.86836242675781,42.0064811706543
2013-02-05,161.9600067138672,48.962738037109375,121.64336395263672,84.28215026855469,72.47876739501953,41.908348083496094
2013-02-06,162.38999938964844,48.88924789428711,121.73196411132812,84.9725112915039,72.82994079589844,42.0555419921875
2013-02-07,161.83999633789062,48.79478454589844,121.57089233398438,84.78356170654297,72.71286010742188,41.877685546875
2013-02-08,161.57000732421875,48.805294036865234,122.24737548828124,85.11060333251953,73.19783020019531,42.2640266418457
2013-02-11,159.6999969482422,48.80001068115234,122.22322845458984,85.04521942138672,73.09749603271484,42.325340270996094
2013-02-12,159.88999938964844,48.96796798706055,122.42452239990234,84.83444213867188,73.39017486572266,42.64423370361328
2013-02-13,159.0500030517578,49.04143905639648,122.5291976928711,84.14409637451172,73.62427520751953,42.61970520019531
2013-02-14,158.35000610351562,49.02043151855469,122.64196014404295,84.9071044921875,73.8500747680664,42.44186401367188
